survived,sibsp,parch,familiares,fare_log,sex_male,embarked_Q,embarked_S,titulo_Miss,titulo_Mr,titulo_Mrs,titulo_Otro,pclass_2,pclass_3,age
0,0.125,0.0,0.1,0.33812548386615277,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2711736617240512
1,0.125,0.0,0.1,0.6858916529635944,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4722292033174164
1,0.0,0.0,0.0,0.35072669661240763,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.32143754712239253
1,0.125,0.0,0.1,0.6394627518675874,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4345312892686604
0,0.0,0.0,0.0,0.3529552840548492,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4345312892686604
0,0.0,0.0,0.0,0.36002602424862645,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5953757225434423
0,0.0,0.0,0.0,0.635754966338881,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6732847449107816
0,0.375,0.16666666666666666,0.4,0.495831873839879,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01985423473234481
1,0.0,0.3333333333333333,0.2,0.3999337912742493,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.33400351847197784
1,0.125,0.0,0.1,0.5506031046482883,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.17064589092736868
1,0.125,0.16666666666666666,0.2,0.46043946366130095,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04498617743151546
1,0.0,0.0,0.0,0.5313325505056177,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.723548630309123
0,0.0,0.0,0.0,0.3529552840548492,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.24604171902488062
0,0.125,0.8333333333333333,0.6000000000000001,0.556695873257052,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4847951746670017
0,0.0,0.0,0.0,0.3494505372759428,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.17064589092736868
1,0.0,0.0,0.0,0.45397386041263804,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.685850716260367
0,0.5,0.16666666666666666,0.5,0.5456498136790771,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01985423473234481
1,0.0,0.0,0.0,0.42286368807669106,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3918069866800703
0,0.125,0.0,0.1,0.4717958613762316,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.38426740387031916
1,0.0,0.0,0.0,0.33763919258513786,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.35306518693307937
0,0.0,0.0,0.0,0.5281013477114938,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4345312892686604
1,0.0,0.0,0.0,0.42286368807669106,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4219653179190751
1,0.0,0.0,0.0,0.35258659021486516,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.18321186227695402
1,0.0,0.0,0.0,0.5764076106287911,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.34656948982156316
0,0.375,0.16666666666666666,0.4,0.495831873839879,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.09525006282985675
1,0.125,0.8333333333333333,0.6000000000000001,0.5572534209632187,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4722292033174164
0,0.0,0.0,0.0,0.33763919258513786,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4575689034095669
